                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.70554,                0.37875,                0.85564,                0.84169,                 0.9152,                0.93067,                0.74589,                0.66619,                0.35558,                0.85301,              0.0025459,              0.0025459,              0.0025459
                     66,                0.69961,                0.37729,                0.85234,                0.93852,                 0.8559,                0.94218,                0.74746,                0.66789,                0.35671,                0.85376,              0.0024294,              0.0024294,              0.0024294
                     67,                0.69728,                0.37528,                0.85238,                 0.8601,                0.90634,                0.92916,                0.73989,                0.66329,                0.35245,                0.85211,              0.0023129,              0.0023129,              0.0023129
                     68,                0.69459,                 0.3733,                0.85258,                0.88005,                  0.909,                0.94654,                0.75465,                0.67203,                0.35597,                0.85507,              0.0021965,              0.0021965,              0.0021965
                     69,                0.69361,                0.37074,                0.85216,                0.92361,                0.88062,                  0.949,                0.74369,                0.65965,                0.35057,                0.85126,                0.00208,                0.00208,                0.00208
                     70,                0.69056,                0.37124,                0.85145,                 0.9179,                0.90184,                0.95595,                0.75975,                0.66102,                0.35129,                0.85157,              0.0019635,              0.0019635,              0.0019635
                     71,                0.69027,                0.36938,                0.85113,                0.87553,                0.91841,                0.94855,                 0.7485,                0.66044,                0.35044,                0.85172,              0.0018471,              0.0018471,              0.0018471
                     72,                0.68702,                0.36633,                0.85195,                0.86991,                0.91092,                0.93163,                0.73838,                0.66347,                0.34967,                0.85236,              0.0017306,              0.0017306,              0.0017306
                     73,                0.68478,                0.36462,                0.85018,                0.87852,                0.90745,                0.93933,                0.74928,                0.66232,                0.35283,                0.85263,              0.0016141,              0.0016141,              0.0016141
                     74,                0.68124,                0.36198,                  0.848,                0.89042,                0.90483,                0.92815,                0.74286,                0.65997,                0.34845,                0.85188,              0.0014976,              0.0014976,              0.0014976
                     75,                 0.6194,                0.32791,                0.83728,                0.83507,                0.91826,                0.93144,                0.74571,                0.65877,                0.35006,                0.85186,              0.0013812,              0.0013812,              0.0013812
                     76,                0.61632,                0.32438,                  0.837,                0.93848,                   0.84,                0.93726,                0.74905,                0.65884,                0.34709,                0.85214,              0.0012647,              0.0012647,              0.0012647
                     77,                0.61072,                  0.321,                0.83663,                0.89641,                0.85048,                0.93356,                0.74891,                0.65787,                0.34714,                0.85144,              0.0011482,              0.0011482,              0.0011482
                     78,                 0.6043,                0.31631,                0.83527,                0.85833,                0.89801,                0.93547,                0.75457,                 0.6572,                0.34632,                0.85184,              0.0010318,              0.0010318,              0.0010318
                     79,                0.60381,                0.31565,                0.83502,                0.87893,                0.92838,                0.94764,                0.76862,                0.65849,                0.34738,                0.85186,             0.00091529,             0.00091529,             0.00091529
                     80,                0.60152,                0.31387,                0.83403,                 0.8842,                0.90831,                0.94587,                0.76306,                0.65748,                 0.3467,                0.85181,             0.00079882,             0.00079882,             0.00079882
                     81,                0.59599,                0.31035,                0.83188,                0.86971,                0.91895,                0.93446,                0.74356,                0.65661,                0.34383,                0.85172,             0.00068235,             0.00068235,             0.00068235
                     82,                0.59508,                0.30918,                0.83169,                0.88793,                0.88761,                0.93114,                0.75523,                0.65719,                 0.3448,                 0.8511,             0.00056588,             0.00056588,             0.00056588
                     83,                 0.5909,                 0.3058,                0.82957,                0.86409,                0.89696,                0.92965,                 0.7515,                0.65684,                 0.3438,                0.85128,             0.00044941,             0.00044941,             0.00044941
                     84,                0.58834,                0.30398,                0.82992,                 0.8577,                0.91079,                0.93398,                0.76568,                0.65737,                0.34451,                0.85184,             0.00033294,             0.00033294,             0.00033294
