                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.84436,                0.44614,                0.88262,                 0.8652,                0.84868,                0.90408,                0.69692,                0.77747,                 0.4214,                0.89325,                0.00637,                0.00637,                0.00637
                     57,                0.84453,                0.44421,                0.88753,                0.87105,                0.80052,                0.87518,                0.67301,                0.78587,                0.41205,                0.89654,               0.006304,               0.006304,               0.006304
                     58,                0.83718,                0.44167,                0.88549,                0.85428,                0.82062,                0.88863,                0.66496,                0.78448,                0.42015,                0.89697,               0.006238,               0.006238,               0.006238
                     59,                0.83274,                0.43706,                 0.8865,                0.90727,                0.79701,                0.88311,                0.64611,                0.78101,                0.41317,                0.89478,               0.006172,               0.006172,               0.006172
                     60,                0.84058,                0.44018,                0.88557,                0.84806,                0.87456,                0.91062,                0.67406,                0.79575,                0.41362,                0.89624,               0.006106,               0.006106,               0.006106
                     61,                0.82485,                0.43471,                0.88185,                0.85209,                0.86015,                0.91373,                0.69463,                0.77662,                 0.4089,                0.89361,                0.00604,                0.00604,                0.00604
                     62,                0.83347,                0.43436,                0.88165,                0.84156,                 0.8644,                0.89718,                0.66634,                0.77743,                 0.4071,                0.89395,               0.005974,               0.005974,               0.005974
                     63,                0.83121,                0.43586,                0.88086,                0.85476,                0.85412,                0.91395,                0.68484,                0.77519,                 0.4145,                0.89333,               0.005908,               0.005908,               0.005908
                     64,                0.82278,                0.43029,                0.88063,                0.89077,                0.85996,                 0.9078,                0.67821,                0.78074,                0.40853,                0.89366,               0.005842,               0.005842,               0.005842
                     65,                0.83022,                0.43336,                0.88344,                0.83965,                 0.8358,                0.90128,                0.67899,                 0.7868,                0.41317,                0.89644,               0.005776,               0.005776,               0.005776
                     66,                0.81983,                0.43165,                0.88038,                0.78744,                0.82661,                0.85556,                0.64603,                0.77547,                0.41081,                0.89475,                0.00571,                0.00571,                0.00571
                     67,                0.82323,                0.42946,                0.88162,                0.81569,                0.90168,                0.92046,                  0.689,                0.77834,                0.40668,                0.89552,               0.005644,               0.005644,               0.005644
                     68,                0.82091,                0.42958,                0.87952,                0.82059,                 0.8671,                0.89946,                0.69003,                0.77401,                0.40695,                 0.8921,               0.005578,               0.005578,               0.005578
                     69,                0.81595,                0.42708,                 0.8827,                0.87477,                0.84177,                0.91479,                0.69521,                0.78101,                0.41254,                0.89526,               0.005512,               0.005512,               0.005512
                     70,                0.81425,                0.42557,                0.87925,                0.88173,                0.89931,                0.92215,                0.69652,                0.76931,                0.40102,                0.89329,               0.005446,               0.005446,               0.005446
                     71,                0.81368,                0.42241,                0.87804,                0.91071,                0.89147,                0.93869,                0.70944,                0.77182,                0.40161,                0.89124,                0.00538,                0.00538,                0.00538
                     72,                0.80809,                 0.4238,                0.87915,                0.85046,                 0.8973,                0.91679,                0.70702,                0.76617,                0.39992,                0.89026,               0.005314,               0.005314,               0.005314
                     73,                0.80976,                 0.4205,                0.87839,                0.90498,                0.83919,                0.89613,                0.67973,                0.77018,                0.40155,                0.89367,               0.005248,               0.005248,               0.005248
                     74,                0.80378,                0.41902,                0.87348,                0.87296,                0.84758,                0.91291,                0.69025,                0.78307,                0.40589,                0.89718,               0.005182,               0.005182,               0.005182
